學年度,階段,學號,宿舍,房號
99,第一志願, 9817246,十三宿,103
99,第一志願, 9825037,十三宿,103
99,第一志願,9823069,十三宿,104
99,第一志願, 9823081,十三宿,104
99,第一志願, 9823097,十三宿,104
99,第一志願, 9823173,十三宿,104
99,第一志願,9823061,十三宿,105
99,第一志願, 9823078,十三宿,105
99,第一志願, 9823121,十三宿,105
99,第一志願, 9823142,十三宿,105
99,第一志願,9714051,十三宿,112
99,第一志願, 9714083,十三宿,112
99,第一志願, 9714093,十三宿,112
99,第一志願, 9714099,十三宿,112
99,第一志願,9833003,十三宿,113
99,第一志願, 9833006,十三宿,113
99,第一志願, 9833029,十三宿,113
99,第一志願, 9833055,十三宿,113
99,第一志願,9714105,十三宿,114
99,第一志願, 9718028,十三宿,114
99,第一志願, 9718034,十三宿,114
99,第一志願, 9718055,十三宿,114
99,第一志願,9614002,十三宿,201
99,第一志願, 9632044,十三宿,201
99,第一志願, 9712078,十三宿,201
99,第一志願, 9832003,十三宿,201
99,第一志願,9814031,十三宿,202
99,第一志願, 9814049,十三宿,202
99,第一志願, 9814050,十三宿,202
99,第一志願, 9814064,十三宿,202
99,第一志願,9821031,十三宿,203
99,第一志願, 9821120,十三宿,203
99,第一志願, 9821122,十三宿,203
99,第一志願, 9821146,十三宿,203
99,第一志願,9714010,十三宿,204
99,第一志願, 9714012,十三宿,204
99,第一志願, 9714044,十三宿,204
99,第一志願, 9714068,十三宿,204
99,第一志願,9716080,十三宿,206
99,第一志願, 9717125,十三宿,206
99,第一志願, 9717182,十三宿,206
99,第一志願, 9717270,十三宿,206
99,第一志願,9831013,十三宿,208
99,第一志願, 9831019,十三宿,208
99,第一志願, 9832026,十三宿,208
99,第一志願, 9832035,十三宿,208
99,第一志願,9814002,十三宿,209
99,第一志願, 9814014,十三宿,209
99,第一志願, 9814070,十三宿,209
99,第一志願, 9814076,十三宿,209
99,第一志願,9828013,十三宿,210
99,第一志願, 9828024,十三宿,210
99,第一志願, 9828029,十三宿,210
99,第一志願, 9828046,十三宿,210
99,第一志願,9612013,十三宿,211
99,第一志願, 9617034,十三宿,211
99,第一志願, 9617060,十三宿,211
99,第一志願, 9617242,十三宿,211
99,第一志願,9824009,十三宿,212
99,第一志願, 9824011,十三宿,212
99,第一志願, 9824014,十三宿,212
99,第一志願, 9824031,十三宿,212
99,第一志願,9808013,十三宿,214
99,第一志願, 9808014,十三宿,214
99,第一志願, 9808019,十三宿,214
99,第一志願, 9808020,十三宿,214
99,第一志願,9716008,十三宿,223
99,第一志願, 9716042,十三宿,223
99,第一志願, 9716052,十三宿,223
99,第一志願, 9716075,十三宿,223
99,第一志願,9817024,十三宿,224
99,第一志願, 9817029,十三宿,224
99,第一志願, 9817164,十三宿,224
99,第一志願, 9817167,十三宿,224
99,第一志願,9714024,十三宿,301
99,第一志願, 9714027,十三宿,301
99,第一志願, 9716116,十三宿,301
99,第一志願, 9814059,十三宿,301
99,第一志願,9721016,十三宿,302
99,第一志願, 9721018,十三宿,302
99,第一志願, 9721108,十三宿,302
99,第一志願, 9721129,十三宿,302
99,第一志願,9814003,十三宿,303
99,第一志願, 9814021,十三宿,303
99,第一志願, 9814057,十三宿,303
99,第一志願, 9814099,十三宿,303
99,第一志願,9710013,十三宿,307
99,第一志願, 9710022,十三宿,307
99,第一志願, 9710024,十三宿,307
99,第一志願, 9710029,十三宿,307
99,第一志願,9710010,十三宿,310
99,第一志願, 9710011,十三宿,310
99,第一志願, 9710020,十三宿,310
99,第一志願, 9710025,十三宿,310
99,第一志願,9817011,十三宿,314
99,第一志願, 9817025,十三宿,314
99,第一志願, 9817060,十三宿,314
99,第一志願, 9817151,十三宿,314
99,第一志願,9823026,十三宿,317
99,第一志願, 9823034,十三宿,317
99,第一志願, 9823138,十三宿,317
99,第一志願, 9823174,十三宿,317
99,第一志願,9631038,十三宿,324
99,第一志願, 9631050,十三宿,324
99,第一志願, 9712087,十三宿,324
99,第一志願, 9712099,十三宿,324
99,第一志願,9617022,十三宿,403
99,第一志願, 9617079,十三宿,403
99,第一志願, 9617250,十三宿,403
99,第一志願, 9617254,十三宿,403
99,第一志願,9811023,十三宿,404
99,第一志願, 9811026,十三宿,404
99,第一志願, 9811063,十三宿,404
99,第一志願, 9811085,十三宿,404
99,第一志願,9823006,十三宿,405
99,第一志願, 9823014,十三宿,405
99,第一志願, 9823022,十三宿,405
99,第一志願, 9823070,十三宿,405
99,第一志願,9844006,十三宿,406
99,第一志願, 9844009,十三宿,406
99,第一志願, 9844024,十三宿,406
99,第一志願, 9844029,十三宿,406
99,第一志願,9731055,十三宿,409
99,第一志願, 9831002,十三宿,409
99,第一志願, 9831007,十三宿,409
99,第一志願, 9831018,十三宿,409
99,第一志願,9714038,十三宿,410
