學年度,階段,學號,宿舍,房號
102,第二志願,9931003,十宿舍,122
102,第二志願, 9931022,十宿舍,122
102,第二志願, 9931024,十宿舍,122
102,第二志願,9954018,十宿舍,123
102,第二志願, 9954030,十宿舍,123
102,第二志願, 9954041,十宿舍,123
102,第二志願,9914010,十宿舍,125
102,第二志願, 9914016,十宿舍,125
102,第二志願, 9914094,十宿舍,125
102,第一志願,0110832,女二舍,415
102,第一志願, 0111548,女二舍,415
102,第一志願, 0116338,女二舍,415
102,第一志願,9943005,女二舍,555
102,第一志願, 9943006,女二舍,555
102,第一志願, 9943027,女二舍,555
102,第一志願,0117008,女二舍,735
102,第一志願, 0117027,女二舍,735
102,第一志願, 0117044,女二舍,735
102,第一志願,0115408,女二舍,735
102,第一志願, 0115424,女二舍,735
102,第一志願, 0115430,女二舍,735
102,第一志願,0115301,女二舍,785
102,第一志願, 0115304,女二舍,785
102,第一志願, 0115326,女二舍,785
102,第一志願,9953003,女二舍,815
102,第一志願, 9953017,女二舍,815
102,第一志願,9923009,女二舍,825
102,第一志願, 9923133,女二舍,825
102,第一志願,0112024,女二舍,835
102,第一志願, 0112103,女二舍,835
102,第一志願,0012518,女二舍,855
102,第一志願, 0012535,女二舍,855
102,第一志願,0113122,女二舍,865
102,第一志願, 0113124,女二舍,865
102,第一志願,0116031,女二舍,875
102,第一志願, 0116328,女二舍,875
102,第一志願,0111221,女二舍,885
102,第一志願, 0111233,女二舍,885
102,第一志願,0116092,女二舍,935
102,第一志願, 0116241,女二舍,935
102,第一志願,0113119,女二舍,965
102,第一志願, 0113140,女二舍,965
102,第一志願,0012504,女二舍,985
102,第一志願, 0012530,女二舍,985
102,第一志願,0010835,女二舍,035
102,第一志願, 0115351,女二舍,035
102,第一志願,9916006,女二舍,045
102,第一志願, 9916049,女二舍,045
102,第一志願,0115314,女二舍,055
102,第一志願, 0115339,女二舍,055
102,第一志願,0113211,女二舍,785
102,第一志願, 0113216,女二舍,785
102,第一志願,0116321,女二舍,025
102,第二志願,0112229,十宿舍,120
102,第二志願,9953014,十宿舍,121
